genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,What Can We Do,0.624,0.657,-7.636,0.452,,,,,,,
Pop,Poker Face,0.849,0.812,-4.603,0.795,,,,,,,
Pop,I See You,0.814,0.728,-5.44,0.962,,,,,,,
Pop,We Found Love,0.735,0.766,-4.485,0.6,,,,,,,
Pop,Set Me Free,0.655,0.828,-4.256,0.428,,,,,,,
Pop,We Should Tell the Truth,0.808,0.364,-12.306,0.0484,,,,,,,
Pop,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,-7.273,0.441,,,,,,,
Pop,Back Around,0.59,0.818,-7.688,0.171,,,,,,,
Pop,Payphone,0.739,0.756,-4.828,0.523,,,,,,,
Pop,Rolling In The Deep,0.727,0.76,-5.114,0.54,,,,,,,
Pop,Stronger (What Doesn't Kill You),0.562,0.939,-4.282,0.684,,,,,,,
Pop,On The Floor - Radio Edit,0.758,0.686,-6.346,0.444,,,,,,,
Pop,Titanium (feat. Sia),0.604,0.787,-3.674,0.301,,,,,,,
Pop,Royals,0.636,0.436,-9.524,0.331,,,,,,,
Pop,Starships,0.747,0.716,-2.457,0.751,,,,,,,
Pop,Party In The U.S.A.,0.652,0.698,-4.667,0.47,,,,,,,
Pop,One More Night,0.718,0.82,-3.453,0.613,,,,,,,
Pop,Sexy And I Know It,0.71,0.851,-4.241,0.822,,,,,,,
Pop,Telephone,0.825,0.832,-5.853,0.713,,,,,,,
Pop,Domino,0.757,0.547,-4.573,0.793,,,,,,,
Pop,Hollaback Girl,0.926,0.916,-2.221,0.904,,,,,,,
Pop,Demons,0.505,0.71,-3.015,0.428,,,,,,,
Pop,Stitches,0.746,0.754,-6.684,0.746,,,,,,,
Pop,Party Rock Anthem,0.75,0.727,-4.21,0.359,,,,,,,
Pop,Gives You Hell,0.718,0.691,-6.44,0.552,,,,,,,
Pop,Womanizer,0.724,0.695,-5.226,0.235,,,,,,,
Pop,Teenage Dream,0.719,0.798,-4.582,0.591,,,,,,,
Pop,Problem,0.66,0.805,-5.352,0.625,,,,,,,
Pop,Applause,0.669,0.78,-4.287,0.738,,,,,,,
Pop,Everybody Talks,0.471,0.924,-3.906,0.725,,,,,,,
Pop,What the Hell,0.571,0.932,-3.68,0.864,,,,,,,
Pop,Round & Round,0.542,0.713,-4.059,0.513,,,,,,,
Pop,Burn,0.559,0.777,-5.031,0.329,,,,,,,
Pop,Roar,0.554,0.772,-4.821,0.455,,,,,,,
Pop,Fancy,0.912,0.716,-4.141,0.377,,,,,,,
Pop,The One That Got Away,0.691,0.795,-4.021,0.876,,,,,,,
Pop,Really Don't Care,0.703,0.733,-3.598,0.82,,,,,,,
Pop,Girl on Fire,0.482,0.706,-5.762,0.144,,,,,,,
Pop,Marry The Night,0.614,0.879,-4.422,0.407,,,,,,,
Pop,I Love It (feat. Charli XCX),0.711,0.906,-2.671,0.824,,,,,,,
Pop,Confident,0.594,0.749,-6.251,0.344,,,,,,,
Pop,Worth It (feat. Kid Ink),0.884,0.765,-3.865,0.594,,,,,,,
Pop,Pompeii,0.679,0.715,-6.383,0.571,,,,,,,
Pop,Cake By The Ocean,0.774,0.753,-5.446,0.896,,,,,,,
Pop,Rich Girl,0.856,0.754,-2.728,0.722,,,,,,,
Pop,Me And My Broken Heart,0.541,0.785,-4.199,0.503,,,,,,,
Pop,Treasure,0.874,0.692,-5.28,0.937,,,,,,,
Pop,Cool for the Summer,0.583,0.61,-5.639,0.336,,,,,,,
Pop,Naturally,0.606,0.902,-5.41,0.876,,,,,,,
Pop,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.475,0.606,-6.646,0.282,,,,,,,
Pop,She Will Be Loved,0.524,0.711,-5.494,0.539,,,,,,,
Pop,Talking Body,0.736,0.761,-5.449,0.114,,,,,,,
Pop,Treat You Better,0.748,0.819,-4.032,0.792,,,,,,,
Pop,Send My Love (To Your New Lover),0.688,0.532,-8.361,0.565,,,,,,,
Pop,Gangnam Style,0.727,0.937,-2.871,0.749,,,,,,,
Pop,Take Me To Church,0.561,0.667,-5.191,0.385,,,,,,,
Pop,Hey Brother,0.545,0.78,-4.867,0.458,,,,,,,
Pop,Scars To Your Beautiful,0.319,0.739,-5.74,0.449,,,,,,,
Pop,Mercy,0.555,0.662,-4.952,0.356,,,,,,,
Pop,Ex's & Oh's,0.612,0.921,-2.879,0.453,,,,,,,
Pop,Centuries,0.393,0.858,-2.868,0.56,,,,,,,
Pop,Set Fire to the Rain,0.603,0.67,-3.882,0.445,,,,,,,
Pop,Paradise,0.449,0.585,-6.761,0.212,,,,,,,
Pop,Don't Let Me Down,0.532,0.869,-5.094,0.422,,,,,,,
